State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
Iowa,2020,"Bachelor's degree (BA, AB, BS)",8719,30.5
Iowa,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1020,32.8
Iowa,2020,High school graduate or GED completed,9088,26.6
Iowa,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2984,32.0
Iowa,2020,"Some college credit, but not a degree",5855,27.8
Iowa,2020,Unknown or Not Stated,72,29.0
Iowa,2021,8th grade or less,1256,29.4
Iowa,2021,9th through 12th grade with no diploma,2767,25.2
Iowa,2021,"Associate degree (AA, AS)",4487,29.6
Iowa,2021,"Bachelor's degree (BA, AB, BS)",9170,30.6
Iowa,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1047,32.9
Iowa,2021,High school graduate or GED completed,8971,26.8
Iowa,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3262,32.2
Iowa,2021,"Some college credit, but not a degree",5809,28.0
Iowa,2021,Unknown or Not Stated,66,29.3
Kansas,2016,8th grade or less,1138,29.3
Kansas,2016,9th through 12th grade with no diploma,3627,24.4
Kansas,2016,"Associate degree (AA, AS)",3605,28.9
Kansas,2016,"Bachelor's degree (BA, AB, BS)",8547,30.6
Kansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",920,32.8
Kansas,2016,High school graduate or GED completed,8625,25.5
Kansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3330,32.0
Kansas,2016,"Some college credit, but not a degree",8151,27.0
Kansas,2016,Unknown or Not Stated,110,28.5
Kansas,2017,8th grade or less,1047,29.4
Kansas,2017,9th through 12th grade with no diploma,3285,24.6
Kansas,2017,"Associate degree (AA, AS)",3478,28.8
Kansas,2017,"Bachelor's degree (BA, AB, BS)",8172,30.6
Kansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",874,33.1
Kansas,2017,High school graduate or GED completed,8695,25.7
Kansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3188,32.2
Kansas,2017,"Some college credit, but not a degree",7665,27.2
Kansas,2017,Unknown or Not Stated,115,29.4
Kansas,2018,8th grade or less,1029,29.4
Kansas,2018,9th through 12th grade with no diploma,3199,24.4
Kansas,2018,"Associate degree (AA, AS)",3486,29.0
Kansas,2018,"Bachelor's degree (BA, AB, BS)",8249,30.8
Kansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",886,33.0
Kansas,2018,High school graduate or GED completed,8832,26.0
Kansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3096,32.2
Kansas,2018,"Some college credit, but not a degree",7350,27.2
Kansas,2018,Unknown or Not Stated,134,29.4
Kansas,2019,8th grade or less,1078,29.0
Kansas,2019,9th through 12th grade with no diploma,2984,24.6
Kansas,2019,"Associate degree (AA, AS)",3386,29.1
Kansas,2019,"Bachelor's degree (BA, AB, BS)",8008,30.7
Kansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",907,33.1
Kansas,2019,High school graduate or GED completed,8551,25.9
Kansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3243,32.5
Kansas,2019,"Some college credit, but not a degree",7079,27.4
Kansas,2019,Unknown or Not Stated,159,29.4
Kansas,2020,8th grade or less,1024,29.2
Kansas,2020,9th through 12th grade with no diploma,2725,24.8
Kansas,2020,"Associate degree (AA, AS)",3230,29.0
Kansas,2020,"Bachelor's degree (BA, AB, BS)",7821,30.8
Kansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",922,33.2
Kansas,2020,High school graduate or GED completed,8766,25.8
Kansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3112,32.2
Kansas,2020,"Some college credit, but not a degree",6591,27.6
Kansas,2020,Unknown or Not Stated,185,29.6
Kansas,2021,8th grade or less,1113,29.1
Kansas,2021,9th through 12th grade with no diploma,2538,24.9
Kansas,2021,"Associate degree (AA, AS)",3178,29.3
Kansas,2021,"Bachelor's degree (BA, AB, BS)",8368,30.8
Kansas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",994,32.9
Kansas,2021,High school graduate or GED completed,8961,26.2
Kansas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3171,32.3
Kansas,2021,"Some college credit, but not a degree",6177,27.7
Kansas,2021,Unknown or Not Stated,205,29.2
Kentucky,2016,8th grade or less,1882,28.4
Kentucky,2016,9th through 12th grade with no diploma,5810,23.8
Kentucky,2016,"Associate degree (AA, AS)",4964,29.0
Kentucky,2016,"Bachelor's degree (BA, AB, BS)",8549,30.3
Kentucky,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1217,32.8
Kentucky,2016,High school graduate or GED completed,15424,24.9
Kentucky,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4290,31.8
Kentucky,2016,"Some college credit, but not a degree",13040,26.7
Kentucky,2016,Unknown or Not Stated,273,27.8
Kentucky,2017,8th grade or less,1796,29.0
Kentucky,2017,9th through 12th grade with no diploma,5643,23.8
Kentucky,2017,"Associate degree (AA, AS)",5028,29.0
Kentucky,2017,"Bachelor's degree (BA, AB, BS)",8371,30.4
Kentucky,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1120,32.7
Kentucky,2017,High school graduate or GED completed,15683,25.0
Kentucky,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4370,31.8
Kentucky,2017,"Some college credit, but not a degree",12493,26.8
Kentucky,2017,Unknown or Not Stated,248,28.4
Kentucky,2018,8th grade or less,1859,28.8
Kentucky,2018,9th through 12th grade with no diploma,5238,24.0
Kentucky,2018,"Associate degree (AA, AS)",4928,29.0
Kentucky,2018,"Bachelor's degree (BA, AB, BS)",8173,30.4
Kentucky,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1141,33.0
Kentucky,2018,High school graduate or GED completed,15922,25.2
Kentucky,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4293,31.8
Kentucky,2018,"Some college credit, but not a degree",12130,27.0
Kentucky,2018,Unknown or Not Stated,238,27.9
Kentucky,2019,8th grade or less,1880,29.0
Kentucky,2019,9th through 12th grade with no diploma,4971,24.2
Kentucky,2019,"Associate degree (AA, AS)",4864,29.1
Kentucky,2019,"Bachelor's degree (BA, AB, BS)",8226,30.4
Kentucky,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1094,32.8
Kentucky,2019,High school graduate or GED completed,15908,25.3
Kentucky,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4133,32.0
Kentucky,2019,"Some college credit, but not a degree",11703,27.1
Kentucky,2019,Unknown or Not Stated,290,28.9
Kentucky,2020,8th grade or less,1912,29.0
Kentucky,2020,9th through 12th grade with no diploma,4650,24.5
Kentucky,2020,"Associate degree (AA, AS)",4618,29.2
Kentucky,2020,"Bachelor's degree (BA, AB, BS)",8044,30.4
Kentucky,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1110,33.0
Kentucky,2020,High school graduate or GED completed,16102,25.3
Kentucky,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4210,32.1
Kentucky,2020,"Some college credit, but not a degree",10783,27.3
Kentucky,2020,Unknown or Not Stated,239,28.2
Kentucky,2021,8th grade or less,2078,29.2
Kentucky,2021,9th through 12th grade with no diploma,4400,24.4
Kentucky,2021,"Associate degree (AA, AS)",4683,29.2
Kentucky,2021,"Bachelor's degree (BA, AB, BS)",8683,30.4
Kentucky,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1180,33.1
Kentucky,2021,High school graduate or GED completed,16117,25.6
Kentucky,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4294,32.0
Kentucky,2021,"Some college credit, but not a degree",10531,27.4
Kentucky,2021,Unknown or Not Stated,248,28.3
Louisiana,2016,8th grade or less,1775,26.4
Louisiana,2016,9th through 12th grade with no diploma,8100,24.2
Louisiana,2016,"Associate degree (AA, AS)",4363,29.2
Louisiana,2016,"Bachelor's degree (BA, AB, BS)",10422,30.4
Louisiana,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1172,33.0
Louisiana,2016,High school graduate or GED completed,19923,25.8
Louisiana,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3449,32.0
Louisiana,2016,"Some college credit, but not a degree",13675,27.0
Louisiana,2016,Unknown or Not Stated,299,28.1
Louisiana,2017,8th grade or less,1648,27.1
Louisiana,2017,9th through 12th grade with no diploma,7538,24.4
Louisiana,2017,"Associate degree (AA, AS)",4531,29.2
Louisiana,2017,"Bachelor's degree (BA, AB, BS)",9881,30.4
Louisiana,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1172,33.2
Louisiana,2017,High school graduate or GED completed,19503,25.8
Louisiana,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3453,32.0
Louisiana,2017,"Some college credit, but not a degree",12872,27.1
Louisiana,2017,Unknown or Not Stated,420,28.8
Louisiana,2018,8th grade or less,1635,27.2
Louisiana,2018,9th through 12th grade with no diploma,7147,24.7
Louisiana,2018,"Associate degree (AA, AS)",4582,29.2
Louisiana,2018,"Bachelor's degree (BA, AB, BS)",9747,30.6
Louisiana,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1196,33.2
Louisiana,2018,High school graduate or GED completed,19315,25.8
Louisiana,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3407,32.2
Louisiana,2018,"Some college credit, but not a degree",12217,27.2
Louisiana,2018,Unknown or Not Stated,369,28.4
Louisiana,2019,8th grade or less,1655,27.4
Louisiana,2019,9th through 12th grade with no diploma,6694,24.6
Louisiana,2019,"Associate degree (AA, AS)",4511,29.4
Louisiana,2019,"Bachelor's degree (BA, AB, BS)",9556,30.7
Louisiana,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1186,33.3
Louisiana,2019,High school graduate or GED completed,19859,26.0
Louisiana,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3567,32.3
Louisiana,2019,"Some college credit, but not a degree",11550,27.4
Louisiana,2019,Unknown or Not Stated,363,27.7
Louisiana,2020,8th grade or less,1616,27.8
Louisiana,2020,9th through 12th grade with no diploma,6196,24.7
Louisiana,2020,"Associate degree (AA, AS)",4413,29.6
Louisiana,2020,"Bachelor's degree (BA, AB, BS)",9416,30.7
Louisiana,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1207,33.6
Louisiana,2020,High school graduate or GED completed,19770,26.0
Louisiana,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3560,32.4
Louisiana,2020,"Some college credit, but not a degree",10878,27.6
Louisiana,2020,Unknown or Not Stated,272,29.0
Louisiana,2021,8th grade or less,1550,27.6
Louisiana,2021,9th through 12th grade with no diploma,6063,24.7
Louisiana,2021,"Associate degree (AA, AS)",4578,29.6
Louisiana,2021,"Bachelor's degree (BA, AB, BS)",9591,30.8
Louisiana,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1252,33.4
Louisiana,2021,High school graduate or GED completed,19762,26.2
Louisiana,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3678,32.3
Louisiana,2021,"Some college credit, but not a degree",10654,27.7
Louisiana,2021,Unknown or Not Stated,309,28.0
Maine,2016,8th grade or less,162,29.7
Maine,2016,9th through 12th grade with no diploma,676,23.8
Maine,2016,"Associate degree (AA, AS)",1245,29.6
Maine,2016,"Bachelor's degree (BA, AB, BS)",2818,31.1
Maine,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",379,33.3
Maine,2016,High school graduate or GED completed,3531,26.2
Maine,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1243,32.8
Maine,2016,"Some college credit, but not a degree",2628,27.6
Maine,2016,Unknown or Not Stated,16,34.1
Maine,2017,8th grade or less,204,30.9
Maine,2017,9th through 12th grade with no diploma,664,24.1
Maine,2017,"Associate degree (AA, AS)",1204,29.7
Maine,2017,"Bachelor's degree (BA, AB, BS)",2777,31.2
Maine,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",359,33.4
Maine,2017,High school graduate or GED completed,3329,26.5
Maine,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1180,32.8
Maine,2017,"Some college credit, but not a degree",2560,27.8
Maine,2017,Unknown or Not Stated,12,33.2
Maine,2018,8th grade or less,191,30.2
Maine,2018,9th through 12th grade with no diploma,628,24.0
Maine,2018,"Associate degree (AA, AS)",1186,29.7
Maine,2018,"Bachelor's degree (BA, AB, BS)",2799,31.4
Maine,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",368,33.6
Maine,2018,High school graduate or GED completed,3303,26.7
Maine,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1155,33.0
Maine,2018,"Some college credit, but not a degree",2663,28.3
Maine,2018,Unknown or Not Stated,13,31.2
Maine,2019,8th grade or less,162,30.0
Maine,2019,9th through 12th grade with no diploma,630,24.7
Maine,2019,"Associate degree (AA, AS)",1114,29.9
Maine,2019,"Bachelor's degree (BA, AB, BS)",2763,31.5
Maine,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",387,33.9
Maine,2019,High school graduate or GED completed,2920,27.0
Maine,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1209,33.2
Maine,2019,"Some college credit, but not a degree",2563,28.3
Maine,2019,Unknown or Not Stated,31,30.1
Maine,2020,8th grade or less,167,30.2
Maine,2020,9th through 12th grade with no diploma,628,24.6
Maine,2020,"Associate degree (AA, AS)",982,30.0
Maine,2020,"Bachelor's degree (BA, AB, BS)",2750,31.6
Maine,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",366,34.0
Maine,2020,High school graduate or GED completed,2892,26.8
Maine,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1241,33.2
Maine,2020,"Some college credit, but not a degree",2446,28.7
Maine,2020,Unknown or Not Stated,67,32.2
Maine,2021,8th grade or less,194,29.6
Maine,2021,9th through 12th grade with no diploma,603,24.5
Maine,2021,"Associate degree (AA, AS)",1094,30.0
Maine,2021,"Bachelor's degree (BA, AB, BS)",3094,31.6
Maine,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",421,33.9
Maine,2021,High school graduate or GED completed,2855,27.2
Maine,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1326,33.0
Maine,2021,"Some college credit, but not a degree",2377,29.0
Maine,2021,Unknown or Not Stated,42,32.0
Maryland,2016,8th grade or less,3113,29.6
Maryland,2016,9th through 12th grade with no diploma,6219,25.7
Maryland,2016,"Associate degree (AA, AS)",4703,30.6
Maryland,2016,"Bachelor's degree (BA, AB, BS)",15757,31.6
Maryland,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3278,34.3
Maryland,2016,High school graduate or GED completed,14657,26.8
Maryland,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10590,33.1
Maryland,2016,"Some college credit, but not a degree",14412,28.4
Maryland,2016,Unknown or Not Stated,407,30.2
Maryland,2017,8th grade or less,3065,29.8
Maryland,2017,9th through 12th grade with no diploma,5801,26.0
Maryland,2017,"Associate degree (AA, AS)",4733,30.6
Maryland,2017,"Bachelor's degree (BA, AB, BS)",15527,31.7
Maryland,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3243,34.5
Maryland,2017,High school graduate or GED completed,14434,27.0
Maryland,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10505,33.2
Maryland,2017,"Some college credit, but not a degree",13924,28.5
Maryland,2017,Unknown or Not Stated,409,29.8
Maryland,2018,8th grade or less,3131,30.2
Maryland,2018,9th through 12th grade with no diploma,5802,26.0
Maryland,2018,"Associate degree (AA, AS)",4567,30.8
Maryland,2018,"Bachelor's degree (BA, AB, BS)",15476,31.8
Maryland,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3202,34.7
Maryland,2018,High school graduate or GED completed,14188,27.2
Maryland,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10653,33.3
Maryland,2018,"Some college credit, but not a degree",13647,28.7
Maryland,2018,Unknown or Not Stated,414,29.6
Maryland,2019,8th grade or less,3293,29.6
Maryland,2019,9th through 12th grade with no diploma,5778,26.2
Maryland,2019,"Associate degree (AA, AS)",4543,30.6
Maryland,2019,"Bachelor's degree (BA, AB, BS)",15072,31.8
Maryland,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3103,34.6
Maryland,2019,High school graduate or GED completed,14337,27.4
Maryland,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10592,33.4
Maryland,2019,"Some college credit, but not a degree",13009,29.0
Maryland,2019,Unknown or Not Stated,451,30.0
Maryland,2020,8th grade or less,3176,30.1
Maryland,2020,9th through 12th grade with no diploma,5417,26.0
Maryland,2020,"Associate degree (AA, AS)",4384,31.0
Maryland,2020,"Bachelor's degree (BA, AB, BS)",15020,32.0
Maryland,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3137,34.8
Maryland,2020,High school graduate or GED completed,14194,27.4
Maryland,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10228,33.4
Maryland,2020,"Some college credit, but not a degree",12633,29.1
Maryland,2020,Unknown or Not Stated,365,30.4
Maryland,2021,8th grade or less,3086,30.0
Maryland,2021,9th through 12th grade with no diploma,5195,26.6
Maryland,2021,"Associate degree (AA, AS)",4462,31.0
Maryland,2021,"Bachelor's degree (BA, AB, BS)",15194,32.1
Maryland,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3275,34.8
Maryland,2021,High school graduate or GED completed,13779,27.4
Maryland,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10894,33.7
Maryland,2021,"Some college credit, but not a degree",12001,29.2
Maryland,2021,Unknown or Not Stated,399,30.4
Massachusetts,2016,8th grade or less,1651,29.3
Massachusetts,2016,9th through 12th grade with no diploma,4615,26.2
Massachusetts,2016,"Associate degree (AA, AS)",4431,31.1
Massachusetts,2016,"Bachelor's degree (BA, AB, BS)",17537,32.2
Massachusetts,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3988,34.4
Massachusetts,2016,High school graduate or GED completed,11189,27.8
Massachusetts,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12670,33.2
Massachusetts,2016,"Some college credit, but not a degree",13241,28.9
Massachusetts,2016,Unknown or Not Stated,1995,31.3
Massachusetts,2017,8th grade or less,1636,29.8
Massachusetts,2017,9th through 12th grade with no diploma,4522,26.4
Massachusetts,2017,"Associate degree (AA, AS)",4355,31.1
Massachusetts,2017,"Bachelor's degree (BA, AB, BS)",17254,32.3
Massachusetts,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3890,34.4
Massachusetts,2017,High school graduate or GED completed,11055,27.8
Massachusetts,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12419,33.3
Massachusetts,2017,"Some college credit, but not a degree",12858,29.0
Massachusetts,2017,Unknown or Not Stated,2713,31.7
Massachusetts,2018,8th grade or less,1488,29.8
Massachusetts,2018,9th through 12th grade with no diploma,4157,26.6
Massachusetts,2018,"Associate degree (AA, AS)",4182,31.2
Massachusetts,2018,"Bachelor's degree (BA, AB, BS)",17385,32.3
Massachusetts,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4068,34.4
Massachusetts,2018,High school graduate or GED completed,10954,28.0
Massachusetts,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12871,33.4
Massachusetts,2018,"Some college credit, but not a degree",12377,29.3
Massachusetts,2018,Unknown or Not Stated,1627,31.5
Massachusetts,2019,8th grade or less,1437,30.1
Massachusetts,2019,9th through 12th grade with no diploma,4080,26.9
Massachusetts,2019,"Associate degree (AA, AS)",4252,31.4
Massachusetts,2019,"Bachelor's degree (BA, AB, BS)",17482,32.4
Massachusetts,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4135,34.5
Massachusetts,2019,High school graduate or GED completed,10883,28.0
Massachusetts,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12947,33.6
Massachusetts,2019,"Some college credit, but not a degree",12086,29.5
Massachusetts,2019,Unknown or Not Stated,1815,31.5
Massachusetts,2020,8th grade or less,1361,30.0
Massachusetts,2020,9th through 12th grade with no diploma,3799,26.9
Massachusetts,2020,"Associate degree (AA, AS)",3904,31.6
Massachusetts,2020,"Bachelor's degree (BA, AB, BS)",16994,32.6
Massachusetts,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4013,34.6
Massachusetts,2020,High school graduate or GED completed,10978,28.2
Massachusetts,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12502,33.7
Massachusetts,2020,"Some college credit, but not a degree",11169,29.7
Massachusetts,2020,Unknown or Not Stated,1708,31.8
Massachusetts,2021,8th grade or less,1189,30.1
Massachusetts,2021,9th through 12th grade with no diploma,3773,27.3
Massachusetts,2021,"Associate degree (AA, AS)",4089,31.5
Massachusetts,2021,"Bachelor's degree (BA, AB, BS)",18531,32.7
Massachusetts,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4310,34.8
Massachusetts,2021,High school graduate or GED completed,10811,28.1
Massachusetts,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",13762,33.7
Massachusetts,2021,"Some college credit, but not a degree",11061,30.0
Massachusetts,2021,Unknown or Not Stated,1611,31.1
Michigan,2016,8th grade or less,2241,29.4
Michigan,2016,9th through 12th grade with no diploma,10583,24.2
Michigan,2016,"Associate degree (AA, AS)",9932,29.8
Michigan,2016,"Bachelor's degree (BA, AB, BS)",21964,31.0
Michigan,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2705,33.0
Michigan,2016,High school graduate or GED completed,28259,26.1
Michigan,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9533,32.5
Michigan,2016,"Some college credit, but not a degree",26973,27.6
Michigan,2016,Unknown or Not Stated,1125,28.0
Michigan,2017,8th grade or less,2311,29.6
Michigan,2017,9th through 12th grade with no diploma,10252,24.4
Michigan,2017,"Associate degree (AA, AS)",9518,29.9
Michigan,2017,"Bachelor's degree (BA, AB, BS)",22200,31.0
Michigan,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2681,33.2
Michigan,2017,High school graduate or GED completed,28028,26.2
Michigan,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9433,32.6
Michigan,2017,"Some college credit, but not a degree",25861,27.9
Michigan,2017,Unknown or Not Stated,1142,28.6
Michigan,2018,8th grade or less,2244,29.6
Michigan,2018,9th through 12th grade with no diploma,9624,24.5
Michigan,2018,"Associate degree (AA, AS)",9423,30.0
Michigan,2018,"Bachelor's degree (BA, AB, BS)",22410,31.0
Michigan,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2836,33.3
Michigan,2018,High school graduate or GED completed,27793,26.2
Michigan,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9542,32.6
Michigan,2018,"Some college credit, but not a degree",25100,28.0
Michigan,2018,Unknown or Not Stated,1060,28.4
Michigan,2019,8th grade or less,2060,29.8
Michigan,2019,9th through 12th grade with no diploma,9206,24.6
Michigan,2019,"Associate degree (AA, AS)",9055,30.2
Michigan,2019,"Bachelor's degree (BA, AB, BS)",22331,31.2
Michigan,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2786,33.3
Michigan,2019,High school graduate or GED completed,27980,26.4
Michigan,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9665,32.6
Michigan,2019,"Some college credit, but not a degree",23715,28.2
Michigan,2019,Unknown or Not Stated,1088,29.2
Michigan,2020,8th grade or less,2139,29.8
Michigan,2020,9th through 12th grade with no diploma,8546,24.6
Michigan,2020,"Associate degree (AA, AS)",8965,30.2
Michigan,2020,"Bachelor's degree (BA, AB, BS)",21237,31.2
Michigan,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2759,33.4
Michigan,2020,High school graduate or GED completed,27691,26.6
Michigan,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9212,32.6
Michigan,2020,"Some college credit, but not a degree",22733,28.6
Michigan,2020,Unknown or Not Stated,792,29.6
Michigan,2021,8th grade or less,1946,29.8
Michigan,2021,9th through 12th grade with no diploma,7956,24.8
Michigan,2021,"Associate degree (AA, AS)",9299,30.4
Michigan,2021,"Bachelor's degree (BA, AB, BS)",21980,31.3
Michigan,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2986,33.4
Michigan,2021,High school graduate or GED completed,27780,26.9
Michigan,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9545,32.8
Michigan,2021,"Some college credit, but not a degree",22583,28.8
Michigan,2021,Unknown or Not Stated,905,29.9
Minnesota,2016,8th grade or less,2412,30.7
Minnesota,2016,9th through 12th grade with no diploma,4831,25.5
Minnesota,2016,"Associate degree (AA, AS)",9096,30.0
Minnesota,2016,"Bachelor's degree (BA, AB, BS)",18737,31.1
Minnesota,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2218,33.2
Minnesota,2016,High school graduate or GED completed,11557,27.0
Minnesota,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7207,32.7
Minnesota,2016,"Some college credit, but not a degree",12707,28.1
Minnesota,2016,Unknown or Not Stated,984,30.5
Minnesota,2017,8th grade or less,2372,30.8
Minnesota,2017,9th through 12th grade with no diploma,4816,25.6
Minnesota,2017,"Associate degree (AA, AS)",8869,30.2
Minnesota,2017,"Bachelor's degree (BA, AB, BS)",18524,31.2
Minnesota,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2332,33.4
Minnesota,2017,High school graduate or GED completed,11513,27.1
Minnesota,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7192,32.7
Minnesota,2017,"Some college credit, but not a degree",12206,28.4
Minnesota,2017,Unknown or Not Stated,771,30.4
Minnesota,2018,8th grade or less,2353,30.7
Minnesota,2018,9th through 12th grade with no diploma,4390,25.8
Minnesota,2018,"Associate degree (AA, AS)",8500,30.2
Minnesota,2018,"Bachelor's degree (BA, AB, BS)",18724,31.4
Minnesota,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2243,33.6
Minnesota,2018,High school graduate or GED completed,11329,27.2
Minnesota,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7144,32.7
